id,name,created_at
1,BURDUR,2025-04-10 00:23:01.107079+00
2,ESKİŞEHİR,2025-04-10 00:23:01.107079+00
3,ÇANKIRI,2025-04-10 00:23:01.107079+00
4,OSMANİYE,2025-04-10 00:23:01.107079+00
5,KOCAELİ,2025-04-10 00:23:01.107079+00
6,GAZİANTEP,2025-04-10 00:23:01.107079+00
7,HATAY,2025-04-10 00:23:01.107079+00
8,KAYSERİ,2025-04-10 00:23:01.107079+00
9,GÜMÜŞHANE,2025-04-10 00:23:01.107079+00
10,SAKARYA,2025-04-10 00:23:01.107079+00
11,BURSA,2025-04-10 00:23:01.107079+00
12,BAYBURT,2025-04-10 00:23:01.107079+00
13,ÇANAKKALE,2025-04-10 00:23:01.107079+00
14,SİNOP,2025-04-10 00:23:01.107079+00
15,BARTIN,2025-04-10 00:23:01.107079+00
16,MAĞUSA (KIBRIS),2025-04-10 00:23:01.107079+00
17,MERSİN,2025-04-10 00:23:01.107079+00
18,NİĞDE,2025-04-10 00:23:01.107079+00
19,KONYA,2025-04-10 00:23:01.107079+00
20,TOKAT,2025-04-10 00:23:01.107079+00
21,ADIYAMAN,2025-04-10 00:23:01.107079+00
22,ANKARA,2025-04-10 00:23:01.107079+00
23,YOZGAT,2025-04-10 00:23:01.107079+00
24,ORDU,2025-04-10 00:23:01.107079+00
25,RİZE,2025-04-10 00:23:01.107079+00
26,ADANA,2025-04-10 00:23:01.107079+00
27,KIRŞEHİR,2025-04-10 00:23:01.107079+00
28,IĞDIR,2025-04-10 00:23:01.107079+00
29,MANİSA,2025-04-10 00:23:01.107079+00
30,DİYARBAKIR,2025-04-10 00:23:01.107079+00
31,UŞAK,2025-04-10 00:23:01.107079+00
32,LEFKOŞE (KIBRIS),2025-04-10 00:23:01.107079+00
33,AMASYA,2025-04-10 00:23:01.107079+00
34,ERZİNCAN,2025-04-10 00:23:01.107079+00
35,ISPARTA,2025-04-10 00:23:01.107079+00
36,GİRNE (KIBRIS),2025-04-10 00:23:01.107079+00
37,ELAZIĞ,2025-04-10 00:23:01.107079+00
38,KARABÜK,2025-04-10 00:23:01.107079+00
39,HAKKARİ,2025-04-10 00:23:01.107079+00
40,KARS,2025-04-10 00:23:01.107079+00
41,ZONGULDAK,2025-04-10 00:23:01.107079+00
42,AKSARAY,2025-04-10 00:23:01.107079+00
43,MALATYA,2025-04-10 00:23:01.107079+00
44,BALIKESİR,2025-04-10 00:23:01.107079+00
45,DENİZLİ,2025-04-10 00:23:01.107079+00
46,MUŞ,2025-04-10 00:23:01.107079+00
47,ŞIRNAK,2025-04-10 00:23:01.107079+00
48,MUĞLA,2025-04-10 00:23:01.107079+00
49,TEKİRDAĞ,2025-04-10 00:23:01.107079+00
50,KIRKLARELİ,2025-04-10 00:23:01.107079+00
51,SİİRT,2025-04-10 00:23:01.107079+00
52,GİRESUN,2025-04-10 00:23:01.107079+00
53,ŞANLIURFA,2025-04-10 00:23:01.107079+00
54,AYDIN,2025-04-10 00:23:01.107079+00
55,BATMAN,2025-04-10 00:23:01.107079+00
56,BİTLİS,2025-04-10 00:23:01.107079+00
57,AFYONKARAHİSAR,2025-04-10 00:23:01.107079+00
58,ARTVİN,2025-04-10 00:23:01.107079+00
59,AĞRI,2025-04-10 00:23:01.107079+00
60,YALOVA,2025-04-10 00:23:01.107079+00
61,NEVŞEHİR,2025-04-10 00:23:01.107079+00
62,TRABZON,2025-04-10 00:23:01.107079+00
63,SİVAS,2025-04-10 00:23:01.107079+00
64,ANTALYA,2025-04-10 00:23:01.107079+00
65,KASTAMONU,2025-04-10 00:23:01.107079+00
66,MARDİN,2025-04-10 00:23:01.107079+00
67,KAHRAMANMARAŞ,2025-04-10 00:23:01.107079+00
68,ERZURUM,2025-04-10 00:23:01.107079+00
69,ARDAHAN,2025-04-10 00:23:01.107079+00
70,DÜZCE,2025-04-10 00:23:01.107079+00
71,SAMSUN,2025-04-10 00:23:01.107079+00
72,ÇORUM,2025-04-10 00:23:01.107079+00
73,VAN,2025-04-10 00:23:01.107079+00
74,BOLU,2025-04-10 00:23:01.107079+00
75,KÜTAHYA,2025-04-10 00:23:01.107079+00
76,BİLECİK,2025-04-10 00:23:01.107079+00
77,İSTANBUL,2025-04-10 00:23:01.107079+00
78,KİLİS,2025-04-10 00:23:01.107079+00
79,TUNCELİ,2025-04-10 00:23:01.107079+00
80,BİNGÖL,2025-04-10 00:23:01.107079+00
81,EDİRNE,2025-04-10 00:23:01.107079+00
82,KIRIKKALE,2025-04-10 00:23:01.107079+00
83,KARAMAN,2025-04-10 00:23:01.107079+00
84,İZMİR,2025-04-10 00:23:01.107079+00
