id,name,city_id,created_at
1,ALADAĞ,26,2025-04-10 00:23:01.107079+00
2,CEYHAN,26,2025-04-10 00:23:01.107079+00
3,ÇUKUROVA,26,2025-04-10 00:23:01.107079+00
4,FEKE,26,2025-04-10 00:23:01.107079+00
5,İMAMOĞLU,26,2025-04-10 00:23:01.107079+00
6,KARAİSALI,26,2025-04-10 00:23:01.107079+00
7,KARATAŞ,26,2025-04-10 00:23:01.107079+00
8,KOZAN,26,2025-04-10 00:23:01.107079+00
9,POZANTI,26,2025-04-10 00:23:01.107079+00
10,SAİMBEYLİ,26,2025-04-10 00:23:01.107079+00
11,SARIÇAM,26,2025-04-10 00:23:01.107079+00
12,SEYHAN,26,2025-04-10 00:23:01.107079+00
13,TUFANBEYLİ,26,2025-04-10 00:23:01.107079+00
14,YUMURTALIK,26,2025-04-10 00:23:01.107079+00
15,YÜREĞİR,26,2025-04-10 00:23:01.107079+00
16,BESNİ,21,2025-04-10 00:23:01.107079+00
17,ÇELİKHAN,21,2025-04-10 00:23:01.107079+00
18,GERGER,21,2025-04-10 00:23:01.107079+00
19,GÖLBAŞI,21,2025-04-10 00:23:01.107079+00
20,KAHTA,21,2025-04-10 00:23:01.107079+00
21,MERKEZ,21,2025-04-10 00:23:01.107079+00
22,SAMSAT,21,2025-04-10 00:23:01.107079+00
23,SİNCİK,21,2025-04-10 00:23:01.107079+00
24,TUT,21,2025-04-10 00:23:01.107079+00
25,BAŞMAKÇI,57,2025-04-10 00:23:01.107079+00
26,BAYAT,57,2025-04-10 00:23:01.107079+00
27,BOLVADİN,57,2025-04-10 00:23:01.107079+00
28,ÇAY,57,2025-04-10 00:23:01.107079+00
29,ÇOBANLAR,57,2025-04-10 00:23:01.107079+00
30,DAZKIRI,57,2025-04-10 00:23:01.107079+00
31,DİNAR,57,2025-04-10 00:23:01.107079+00
32,EMİRDAĞ,57,2025-04-10 00:23:01.107079+00
33,EVCİLER,57,2025-04-10 00:23:01.107079+00
34,HOCALAR,57,2025-04-10 00:23:01.107079+00
35,İHSANİYE,57,2025-04-10 00:23:01.107079+00
36,İSCEHİSAR,57,2025-04-10 00:23:01.107079+00
37,KIZILÖREN,57,2025-04-10 00:23:01.107079+00
38,MERKEZ,57,2025-04-10 00:23:01.107079+00
39,SANDIKLI,57,2025-04-10 00:23:01.107079+00
40,SİNANPAŞA,57,2025-04-10 00:23:01.107079+00
41,SULTANDAĞI,57,2025-04-10 00:23:01.107079+00
42,ŞUHUT,57,2025-04-10 00:23:01.107079+00
43,DİYADİN,59,2025-04-10 00:23:01.107079+00
44,DOĞUBAYAZIT,59,2025-04-10 00:23:01.107079+00
45,ELEŞKİRT,59,2025-04-10 00:23:01.107079+00
46,HAMUR,59,2025-04-10 00:23:01.107079+00
47,MERKEZ,59,2025-04-10 00:23:01.107079+00
48,PATNOS,59,2025-04-10 00:23:01.107079+00
49,TAŞLIÇAY,59,2025-04-10 00:23:01.107079+00
50,TUTAK,59,2025-04-10 00:23:01.107079+00
51,GÖYNÜCEK,33,2025-04-10 00:23:01.107079+00
52,GÜMÜŞHACIKÖY,33,2025-04-10 00:23:01.107079+00
53,HAMAMÖZÜ,33,2025-04-10 00:23:01.107079+00
54,MERKEZ,33,2025-04-10 00:23:01.107079+00
55,MERZİFON,33,2025-04-10 00:23:01.107079+00
56,SULUOVA,33,2025-04-10 00:23:01.107079+00
57,TAŞOVA,33,2025-04-10 00:23:01.107079+00
58,AKYURT,22,2025-04-10 00:23:01.107079+00
59,ALTINDAĞ,22,2025-04-10 00:23:01.107079+00
60,AYAŞ,22,2025-04-10 00:23:01.107079+00
61,BALA,22,2025-04-10 00:23:01.107079+00
62,BEYPAZARI,22,2025-04-10 00:23:01.107079+00
63,ÇAMLIDERE,22,2025-04-10 00:23:01.107079+00
64,ÇANKAYA,22,2025-04-10 00:23:01.107079+00
65,ÇUBUK,22,2025-04-10 00:23:01.107079+00
66,ELMADAĞ,22,2025-04-10 00:23:01.107079+00
67,ETİMESGUT,22,2025-04-10 00:23:01.107079+00
68,EVREN,22,2025-04-10 00:23:01.107079+00
69,GÖLBAŞI,22,2025-04-10 00:23:01.107079+00
70,GÜDÜL,22,2025-04-10 00:23:01.107079+00
71,HAYMANA,22,2025-04-10 00:23:01.107079+00
72,KAHRAMANKAZAN,22,2025-04-10 00:23:01.107079+00
73,KALECİK,22,2025-04-10 00:23:01.107079+00
74,KEÇİÖREN,22,2025-04-10 00:23:01.107079+00
75,KIZILCAHAMAM,22,2025-04-10 00:23:01.107079+00
76,MAMAK,22,2025-04-10 00:23:01.107079+00
77,NALLIHAN,22,2025-04-10 00:23:01.107079+00
78,POLATLI,22,2025-04-10 00:23:01.107079+00
79,PURSAKLAR,22,2025-04-10 00:23:01.107079+00
80,SİNCAN,22,2025-04-10 00:23:01.107079+00
81,ŞEREFLİKOÇHİSAR,22,2025-04-10 00:23:01.107079+00
82,YENİMAHALLE,22,2025-04-10 00:23:01.107079+00
83,AKSEKİ,64,2025-04-10 00:23:01.107079+00
84,AKSU,64,2025-04-10 00:23:01.107079+00
85,ALANYA,64,2025-04-10 00:23:01.107079+00
86,DEMRE,64,2025-04-10 00:23:01.107079+00
87,DÖŞEMEALTI,64,2025-04-10 00:23:01.107079+00
88,ELMALI,64,2025-04-10 00:23:01.107079+00
89,FİNİKE,64,2025-04-10 00:23:01.107079+00
90,GAZİPAŞA,64,2025-04-10 00:23:01.107079+00
91,GÜNDOĞMUŞ,64,2025-04-10 00:23:01.107079+00
92,İBRADI,64,2025-04-10 00:23:01.107079+00
93,KAŞ,64,2025-04-10 00:23:01.107079+00
94,KEMER,64,2025-04-10 00:23:01.107079+00
95,KEPEZ,64,2025-04-10 00:23:01.107079+00
96,KONYAALTI,64,2025-04-10 00:23:01.107079+00
97,KORKUTELİ,64,2025-04-10 00:23:01.107079+00
98,KUMLUCA,64,2025-04-10 00:23:01.107079+00
99,MANAVGAT,64,2025-04-10 00:23:01.107079+00
